Marathon,Year,Athlete,Country,Time
Boston,1933,Leslie Pawson,United States,02:31:01
Boston,1932,Paul Bruyn,Germany,02:33:36
Boston,1931,James Henigan,United States,02:46:45
Boston,1930,Clarence DeMar,United States,02:34:48
Boston,1929,Johnny Miles,Canada,02:33:08
Boston,1928,Clarence DeMar,United States,02:37:07
Boston,1927,Clarence DeMar,United States,02:40:22
Boston,1926,Johnny Miles,Canada,02:25:40
Boston,1925,Charles Mellor,United States,02:33:00
Boston,1924,Clarence DeMar,United States,02:29:40
Boston,1923,Clarence DeMar,United States,02:23:47
Boston,1922,Clarence DeMar,United States,02:18:10
Boston,1921,Frank Zuna,United States,02:18:57
Boston,1920,Peter Trivoulides,Greece,02:29:31
Boston,1919,Carl Linder,United States,02:29:13
Boston,1918,Camp Devens,United States,02:29:53
Boston,1917,Bill Kennedy,United States,02:28:37
Boston,1916,Arthur Roth,United States,02:27:16
Boston,1915,Fabre Fabre,Canada,02:31:41
Boston,1914,James Duffy,Canada,02:25:14
Boston,1913,Fritz Carlson,United States,02:25:14
Boston,1912,Michael Ryan,United States,02:21:18
Boston,1911,Clarence DeMar,United States,02:21:39
Boston,1910,Fred Cameron,Canada,02:28:52
Boston,1909,Henri Renaud,United States,02:53:36
Boston,1908,Thomas Morrissey,United States,02:25:43
Boston,1907,Thomas Longboat,Canada,02:24:24
Boston,1906,Tim Ford,United States,02:45:45
Boston,1905,Frederick Lorz,United States,02:38:25
Boston,1904,Michael Spring,United States,02:38:04
Boston,1903,John Lorden,United States,02:41:29
Boston,1902,Sammy Mellor,United States,02:43:12
Boston,1901,Jack Caffery,Canada,02:29:23
Boston,1900,Jack Caffery,Canada,02:39:44
Boston,1899,Lawrence Brignolia,United States,02:54:38
Boston,1898,Ronald MacDonald,Canada,02:42:00
Boston,1897,John McDermott,United States,02:55:10
